"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"AK","W - White","90-100","90-100","016","1,766"
"AK","W - White","90-100","90-100","017","1,545"
"AK","W - White","90-100","90-100","011","1,470"
"AK","W - White","90-100","90-100","015","1,428"
"AK","W - White","90-100","0-9.9","011","1,329"
"AK","W - White","90-100","90-100","010","1,144"
"AK","W - White","90-100","90-100","014","1,138"
"AK","W - White","80-89.9","90-100","017","1,121"
"AK","W - White","90-100","0-9.9","015","1,054"
"AK","W - White","90-100","0-9.9","010","962"
"AK","W - White","80-89.9","90-100","016","936"
"AK","W - White","80-89.9","90-100","015","816"
"AK","W - White","90-100","0-9.9","012","815"
"AK","W - White","80-89.9","90-100","014","802"
"AK","W - White","90-100","90-100","012","796"
"AK","W - White","90-100","0-9.9","016","795"
"AK","W - White","80-89.9","90-100","011","771"
"AK","W - White","80-89.9","90-100","010","718"
"AK","W - White","90-100","90-100","013","706"
"AK","W - White","90-100","90-100","019","660"
"AK","W - White","80-89.9","0-9.9","011","655"
"AK","W - White","80-89.9","0-9.9","015","641"
"AK","W - White","80-89.9","90-100","013","637"
"AK","W - White","70-79.9","90-100","017","616"
"AK","W - White","90-100","0-9.9","013","598"
"AK","W - White","80-89.9","0-9.9","010","595"
"AK","W - White","80-89.9","90-100","012","544"
"AK","W - White","80-89.9","90-100","019","499"
"AK","W - White","80-89.9","0-9.9","012","494"
"AK","W - White","70-79.9","90-100","016","479"
"AK","W - White","80-89.9","0-9.9","016","478"
"AK","W - White","90-100","0-9.9","014","457"
"AK","W - White","60-69.9","90-100","017","449"
"AK","W - White","70-79.9","90-100","015","422"
"AK","W - White","70-79.9","90-100","014","419"
"AK","W - White","80-89.9","0-9.9","013","416"
"AK","W - White","70-79.9","90-100","010","387"
"AK","W - White","50-59.9","90-100","017","385"
"AK","W - White","70-79.9","90-100","013","381"
"AK","W - White","40-49.9","0-9.9","018","379"
"AK","W - White","70-79.9","90-100","011","378"
"AK","W - White","60-69.9","90-100","016","373"
"AK","W - White","90-100","0-9.9","017","365"
"AK","W - White","70-79.9","0-9.9","011","358"
"AK","W - White","60-69.9","90-100","014","348"
"AK","W - White","70-79.9","90-100","012","346"
"AK","W - White","80-89.9","0-9.9","014","346"
"AK","W - White","60-69.9","90-100","015","340"
"AK","W - White","80-89.9","0-9.9","017","335"
"AK","W - White","60-69.9","90-100","011","331"
"AK","W - White","60-69.9","90-100","013","330"
"AK","W - White","70-79.9","0-9.9","015","326"
"AK","W - White","50-59.9","0-9.9","018","317"
"AK","W - White","60-69.9","90-100","010","317"
"AK","W - White","50-59.9","90-100","016","314"
"AK","W - White","70-79.9","0-9.9","018","309"
"AK","W - White","70-79.9","0-9.9","012","301"
"AK","W - White","60-69.9","0-9.9","018","300"
"AK","W - White","70-79.9","0-9.9","010","296"
"AK","W - White","70-79.9","0-9.9","016","293"
"AK","W - White","70-79.9","0-9.9","013","290"
"AK","W - White","30-39.9","0-9.9","018","290"
"AK","W - White","60-69.9","0-9.9","015","288"
"AK","W - White","40-49.9","90-100","017","284"
"AK","W - White","70-79.9","90-100","019","275"
"AK","W - White","60-69.9","90-100","012","275"
"AK","W - White","60-69.9","0-9.9","013","275"
"AK","W - White","60-69.9","0-9.9","011","273"
"AK","W - White","50-59.9","90-100","015","270"
"AK","W - White","50-59.9","90-100","013","269"
"AK","W - White","60-69.9","0-9.9","010","264"
"AK","W - White","50-59.9","90-100","010","263"
"AK","W - White","70-79.9","90-100","018","260"
"AK","W - White","80-89.9","90-100","018","258"
"AK","W - White","50-59.9","90-100","014","250"
"AK","W - White","40-49.9","90-100","016","247"
"AK","W - White","50-59.9","90-100","011","247"
"AK","W - White","90-100","30-39.9","012","247"
"AK","W - White","60-69.9","0-9.9","012","246"
"AK","W - White","90-100","90-100","018","245"
"AK","W - White","90-100","80-89.9","015","243"
"AK","W - White","40-49.9","0-9.9","013","243"
"AK","W - White","40-49.9","90-100","010","242"
"AK","W - White","20-29.9","0-9.9","018","240"
"AK","W - White","60-69.9","0-9.9","016","235"
"AK","W - White","40-49.9","90-100","015","229"
"AK","W - White","50-59.9","0-9.9","015","228"
"AK","W - White","10-19.9","90-100","010","226"
"AK","W - White","50-59.9","0-9.9","013","224"
"AK","W - White","50-59.9","0-9.9","016","223"
"AK","W - White","80-89.9","0-9.9","018","223"
"AK","W - White","60-69.9","90-100","019","222"
"AK","W - White","40-49.9","90-100","014","220"
"AK","W - White","90-100","30-39.9","011","219"
"AK","W - White","90-100","40-49.9","012","217"
"AK","W - White","40-49.9","90-100","013","217"
