"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"PA","W - White","90-100","90-100","038","28,967"
"PA","W - White","90-100","0-9.9","036","28,499"
"PA","W - White","90-100","90-100","042","28,124"
"PA","W - White","90-100","0-9.9","034","26,735"
"PA","W - White","90-100","90-100","037","26,360"
"PA","W - White","90-100","90-100","043","25,379"
"PA","W - White","90-100","0-9.9","028","25,135"
"PA","W - White","90-100","0-9.9","039","24,937"
"PA","W - White","90-100","0-9.9","021","24,787"
"PA","W - White","90-100","0-9.9","030","24,350"
"PA","W - White","90-100","90-100","045","24,232"
"PA","W - White","90-100","0-9.9","037","23,689"
"PA","W - White","90-100","0-9.9","033","23,688"
"PA","W - White","90-100","0-9.9","047","22,405"
"PA","W - White","80-89.9","90-100","042","21,846"
"PA","W - White","90-100","90-100","049","21,839"
"PA","W - White","90-100","0-9.9","050","21,716"
"PA","W - White","90-100","0-9.9","031","21,626"
"PA","W - White","90-100","0-9.9","035","21,386"
"PA","W - White","90-100","0-9.9","038","21,147"
"PA","W - White","90-100","0-9.9","041","21,109"
"PA","W - White","80-89.9","0-9.9","033","20,633"
"PA","W - White","90-100","90-100","039","20,133"
"PA","W - White","90-100","0-9.9","025","20,060"
"PA","W - White","80-89.9","0-9.9","036","19,907"
"PA","W - White","80-89.9","0-9.9","028","19,766"
"PA","W - White","80-89.9","0-9.9","021","19,670"
"PA","W - White","80-89.9","90-100","043","19,629"
"PA","W - White","80-89.9","90-100","038","19,322"
"PA","W - White","80-89.9","0-9.9","030","19,288"
"PA","W - White","90-100","0-9.9","015","18,969"
"PA","W - White","90-100","90-100","047","18,920"
"PA","W - White","80-89.9","0-9.9","034","18,339"
"PA","W - White","80-89.9","0-9.9","039","18,315"
"PA","W - White","90-100","0-9.9","049","17,766"
"PA","W - White","80-89.9","0-9.9","047","17,407"
"PA","W - White","80-89.9","0-9.9","050","17,249"
"PA","W - White","80-89.9","0-9.9","041","16,918"
"PA","W - White","90-100","90-100","035","16,396"
"PA","W - White","90-100","0-9.9","013","16,337"
"PA","W - White","80-89.9","0-9.9","025","16,295"
"PA","W - White","80-89.9","90-100","037","16,282"
"PA","W - White","90-100","0-9.9","046","16,230"
"PA","W - White","80-89.9","90-100","045","16,104"
"PA","W - White","90-100","90-100","046","15,988"
"PA","W - White","80-89.9","0-9.9","037","15,619"
"PA","W - White","80-89.9","0-9.9","035","15,385"
"PA","W - White","80-89.9","0-9.9","031","15,182"
"PA","W - White","90-100","90-100","015","14,964"
"PA","W - White","90-100","90-100","036","14,883"
"PA","W - White","80-89.9","0-9.9","046","14,183"
"PA","W - White","90-100","0-9.9","032","14,072"
"PA","W - White","90-100","90-100","050","14,069"
"PA","W - White","90-100","0-9.9","045","13,678"
"PA","W - White","80-89.9","0-9.9","038","13,629"
"PA","W - White","90-100","90-100","041","13,467"
"PA","W - White","80-89.9","90-100","049","13,402"
"PA","W - White","90-100","90-100","034","13,355"
"PA","W - White","80-89.9","90-100","047","12,835"
"PA","W - White","80-89.9","90-100","039","12,773"
"PA","W - White","80-89.9","0-9.9","013","12,672"
"PA","W - White","90-100","90-100","031","12,549"
"PA","W - White","90-100","90-100","025","12,438"
"PA","W - White","90-100","90-100","028","12,394"
"PA","W - White","90-100","0-9.9","023","12,147"
"PA","W - White","80-89.9","0-9.9","049","12,066"
"PA","W - White","70-79.9","0-9.9","033","11,796"
"PA","W - White","80-89.9","90-100","046","11,434"
