"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"PA","W - White","40-49.9","0-9.9","176","1,771"
"PA","W - White","60-69.9","0-9.9","187","1,762"
"PA","W - White","10-19.9","0-9.9","122","1,756"
"PA","W - White","90-100","60-69.9","120","1,755"
"PA","W - White","60-69.9","90-100","112","1,744"
"PA","W - White","60-69.9","0-9.9","176","1,741"
"PA","W - White","10-19.9","0-9.9","139","1,726"
"PA","W - White","80-89.9","0-9.9","135","1,705"
"PA","W - White","50-59.9","0-9.9","187","1,700"
"PA","W - White","70-79.9","90-100","135","1,674"
"PA","W - White","70-79.9","90-100","183","1,664"
"PA","W - White","70-79.9","90-100","133","1,651"
"PA","W - White","30-39.9","90-100","136","1,635"
"PA","W - White","70-79.9","90-100","132","1,625"
"PA","W - White","60-69.9","0-9.9","137","1,606"
"PA","W - White","90-100","70-79.9","119","1,580"
"PA","W - White","30-39.9","0-9.9","122","1,580"
"PA","W - White","70-79.9","90-100","138","1,575"
"PA","W - White","60-69.9","90-100","135","1,573"
"PA","W - White","80-89.9","0-9.9","118","1,560"
"PA","W - White","20-29.9","0-9.9","122","1,557"
"PA","W - White","70-79.9","90-100","136","1,551"
"PA","W - White","40-49.9","0-9.9","187","1,547"
"PA","W - White","60-69.9","90-100","114","1,533"
"PA","W - White","70-79.9","90-100","113","1,528"
"PA","W - White","60-69.9","90-100","137","1,513"
"PA","W - White","90-100","60-69.9","119","1,497"
"PA","W - White","70-79.9","90-100","187","1,496"
"PA","W - White","90-100","80-89.9","119","1,494"
"PA","W - White","70-79.9","0-9.9","131","1,476"
"PA","W - White","70-79.9","0-9.9","114","1,475"
"PA","W - White","90-100","80-89.9","121","1,471"
"PA","W - White","90-100","80-89.9","118","1,459"
"PA","W - White","10-19.9","90-100","135","1,456"
"PA","H - Hispanic or Latino","0-9.9","90-100","022","1,444"
"PA","W - White","70-79.9","0-9.9","132","1,433"
"PA","W - White","0-9.9","0-9.9","139","1,433"
"PA","W - White","70-79.9","0-9.9","112","1,431"
"PA","W - White","90-100","50-59.9","120","1,430"
"PA","W - White","30-39.9","0-9.9","176","1,416"
"PA","W - White","20-29.9","0-9.9","176","1,413"
"PA","W - White","80-89.9","0-9.9","134","1,406"
"PA","W - White","90-100","70-79.9","118","1,401"
"PA","W - White","60-69.9","90-100","136","1,392"
"PA","W - White","50-59.9","0-9.9","137","1,389"
"PA","W - White","10-19.9","0-9.9","176","1,374"
"PA","W - White","30-39.9","0-9.9","138","1,351"
"PA","W - White","60-69.9","90-100","183","1,346"
"PA","W - White","70-79.9","90-100","176","1,335"
"PA","W - White","80-89.9","70-79.9","120","1,333"
"PA","W - White","60-69.9","90-100","138","1,332"
"PA","H - Hispanic or Latino","30-39.9","90-100","022","1,331"
"PA","W - White","20-29.9","0-9.9","138","1,321"
"PA","W - White","50-59.9","90-100","135","1,306"
"PA","W - White","70-79.9","90-100","122","1,294"
"PA","W - White","60-69.9","90-100","133","1,287"
"PA","W - White","50-59.9","90-100","112","1,282"
"PA","W - White","80-89.9","80-89.9","120","1,268"
"PA","W - White","0-9.9","0-9.9","176","1,264"
"PA","W - White","70-79.9","90-100","139","1,264"
"PA","W - White","90-100","70-79.9","121","1,257"
"PA","W - White","60-69.9","90-100","132","1,250"
"PA","W - White","60-69.9","90-100","113","1,247"
"PA","W - White","70-79.9","0-9.9","115","1,224"
"PA","W - White","70-79.9","0-9.9","133","1,221"
"PA","W - White","0-9.9","90-100","135","1,220"
"PA","W - White","10-19.9","0-9.9","183","1,220"
"PA","W - White","70-79.9","0-9.9","189","1,220"
"PA","W - White","80-89.9","60-69.9","120","1,216"
"PA","W - White","90-100","50-59.9","119","1,215"
"PA","W - White","40-49.9","90-100","136","1,211"
"PA","H - Hispanic or Latino","40-49.9","90-100","022","1,208"
"PA","W - White","70-79.9","90-100","189","1,200"
"PA","W - White","90-100","90-100","022","1,194"
"PA","W - White","40-49.9","0-9.9","137","1,193"
"PA","W - White","60-69.9","0-9.9","112","1,192"
"PA","W - White","20-29.9","90-100","136","1,188"
"PA","W - White","30-39.9","0-9.9","183","1,182"
"PA","W - White","60-69.9","90-100","187","1,177"
"PA","W - White","0-9.9","0-9.9","183","1,170"
"PA","W - White","60-69.9","90-100","176","1,162"
"PA","W - White","90-100","60-69.9","118","1,160"
"PA","H - Hispanic or Latino","20-29.9","90-100","022","1,160"
"PA","W - White","90-100","40-49.9","120","1,158"
"PA","H - Hispanic or Latino","30-39.9","90-100","134","1,154"
"PA","W - White","50-59.9","90-100","137","1,153"
"PA","W - White","10-19.9","0-9.9","138","1,153"
"PA","W - White","70-79.9","0-9.9","111","1,152"
"PA","W - White","40-49.9","90-100","132","1,151"
"PA","W - White","50-59.9","90-100","133","1,148"
"PA","W - White","40-49.9","0-9.9","112","1,146"
"PA","W - White","40-49.9","90-100","137","1,135"
