"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"PA","B - Black","90-100","90-100","200","10,330"
"PA","W - White","90-100","90-100","153","8,841"
"PA","W - White","90-100","90-100","154","8,631"
"PA","B - Black","80-89.9","90-100","200","8,544"
"PA","B - Black","80-89.9","90-100","201","8,011"
"PA","B - Black","80-89.9","90-100","192","7,999"
"PA","W - White","90-100","90-100","061","7,484"
"PA","B - Black","80-89.9","90-100","190","7,392"
"PA","W - White","80-89.9","90-100","182","7,239"
"PA","W - White","80-89.9","90-100","194","7,217"
"PA","W - White","90-100","90-100","148","7,166"
"PA","W - White","90-100","90-100","194","7,129"
"PA","W - White","90-100","0-9.9","061","6,301"
"PA","W - White","90-100","90-100","070","6,285"
"PA","W - White","90-100","0-9.9","070","6,112"
"PA","W - White","90-100","0-9.9","147","5,968"
"PA","B - Black","90-100","90-100","192","5,963"
"PA","W - White","90-100","0-9.9","130","5,890"
"PA","W - White","90-100","90-100","150","5,790"
"PA","W - White","80-89.9","90-100","184","5,609"
"PA","B - Black","90-100","90-100","201","5,588"
"PA","W - White","90-100","0-9.9","150","5,364"
"PA","W - White","90-100","90-100","152","5,243"
"PA","W - White","80-89.9","90-100","153","4,934"
"PA","W - White","80-89.9","90-100","154","4,892"
"PA","W - White","90-100","90-100","182","4,866"
"PA","B - Black","80-89.9","90-100","010","4,774"
"PA","W - White","90-100","0-9.9","153","4,768"
"PA","W - White","80-89.9","0-9.9","130","4,649"
"PA","W - White","80-89.9","90-100","061","4,411"
"PA","B - Black","80-89.9","90-100","195","4,349"
"PA","B - Black","70-79.9","90-100","201","4,331"
"PA","W - White","80-89.9","90-100","148","4,326"
"PA","B - Black","80-89.9","90-100","186","4,293"
"PA","W - White","90-100","0-9.9","152","4,287"
"PA","B - Black","70-79.9","90-100","192","4,284"
"PA","W - White","80-89.9","0-9.9","147","4,213"
"PA","B - Black","70-79.9","90-100","190","4,176"
"PA","W - White","90-100","90-100","147","4,174"
"PA","W - White","80-89.9","90-100","070","4,165"
"PA","W - White","90-100","90-100","200","4,163"
"PA","B - Black","90-100","90-100","190","4,159"
"PA","W - White","80-89.9","90-100","186","4,158"
"PA","W - White","90-100","0-9.9","146","4,068"
"PA","B - Black","20-29.9","90-100","190","4,032"
"PA","W - White","90-100","90-100","146","4,019"
"PA","W - White","70-79.9","90-100","182","4,008"
"PA","W - White","90-100","90-100","130","3,910"
"PA","W - White","80-89.9","90-100","150","3,871"
"PA","W - White","80-89.9","90-100","152","3,821"
"PA","B - Black","70-79.9","90-100","200","3,736"
"PA","W - White","90-100","90-100","151","3,726"
"PA","W - White","80-89.9","0-9.9","061","3,679"
"PA","W - White","80-89.9","0-9.9","070","3,670"
"PA","B - Black","20-29.9","90-100","201","3,610"
"PA","W - White","80-89.9","90-100","195","3,595"
"PA","W - White","90-100","90-100","184","3,586"
"PA","W - White","80-89.9","90-100","146","3,514"
"PA","B - Black","80-89.9","90-100","188","3,458"
"PA","W - White","70-79.9","90-100","194","3,402"
"PA","W - White","80-89.9","0-9.9","150","3,360"
"PA","W - White","80-89.9","90-100","188","3,356"
"PA","B - Black","10-19.9","90-100","190","3,353"
"PA","B - Black","20-29.9","90-100","192","3,352"
"PA","B - Black","60-69.9","90-100","190","3,318"
"PA","B - Black","80-89.9","90-100","198","3,222"
"PA","B - Black","60-69.9","90-100","201","3,217"
"PA","B - Black","80-89.9","90-100","191","3,153"
"PA","B - Black","20-29.9","90-100","195","3,068"
"PA","B - Black","60-69.9","90-100","192","3,027"
"PA","B - Black","20-29.9","90-100","010","3,020"
"PA","W - White","80-89.9","0-9.9","146","3,016"
"PA","B - Black","50-59.9","90-100","190","3,010"
"PA","W - White","60-69.9","90-100","182","2,954"
"PA","B - Black","50-59.9","90-100","201","2,924"
"PA","B - Black","70-79.9","90-100","010","2,885"
"PA","W - White","80-89.9","90-100","147","2,844"
"PA","B - Black","10-19.9","90-100","201","2,842"
"PA","W - White","80-89.9","0-9.9","152","2,842"
"PA","B - Black","60-69.9","90-100","200","2,818"
"PA","B - Black","0-9.9","90-100","190","2,814"
"PA","W - White","90-100","0-9.9","148","2,777"
"PA","B - Black","50-59.9","90-100","192","2,759"
"PA","B - Black","40-49.9","90-100","190","2,747"
"PA","B - Black","70-79.9","90-100","195","2,715"
"PA","B - Black","30-39.9","90-100","190","2,676"
"PA","W - White","90-100","90-100","054","2,667"
"PA","W - White","80-89.9","90-100","130","2,652"
"PA","W - White","70-79.9","0-9.9","130","2,641"
"PA","W - White","90-100","90-100","195","2,622"
"PA","W - White","70-79.9","90-100","184","2,617"
"PA","B - Black","40-49.9","90-100","201","2,603"
"PA","B - Black","10-19.9","90-100","192","2,596"
"PA","W - White","80-89.9","0-9.9","153","2,591"
"PA","W - White","80-89.9","90-100","200","2,568"
"PA","B - Black","30-39.9","90-100","201","2,565"
"PA","B - Black","40-49.9","90-100","192","2,530"
"PA","W - White","60-69.9","90-100","194","2,527"
"PA","W - White","40-49.9","90-100","182","2,521"
"PA","W - White","90-100","0-9.9","154","2,513"
"PA","B - Black","90-100","90-100","154","2,480"
"PA","W - White","50-59.9","90-100","182","2,459"
"PA","W - White","30-39.9","90-100","182","2,457"
"PA","B - Black","90-100","90-100","010","2,427"
"PA","B - Black","70-79.9","90-100","186","2,362"
"PA","B - Black","30-39.9","90-100","192","2,352"
"PA","B - Black","10-19.9","90-100","195","2,262"
"PA","B - Black","0-9.9","90-100","201","2,252"
"PA","B - Black","90-100","90-100","186","2,246"
"PA","W - White","70-79.9","0-9.9","147","2,239"
