"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"MS","W - White","80-89.9","0-9.9","088","2,730"
"MS","W - White","80-89.9","0-9.9","104","2,581"
"MS","W - White","80-89.9","0-9.9","109","2,556"
"MS","W - White","80-89.9","0-9.9","107","2,441"
"MS","W - White","90-100","0-9.9","087","2,189"
"MS","W - White","80-89.9","0-9.9","095","2,176"
"MS","W - White","90-100","0-9.9","101","2,145"
"MS","W - White","80-89.9","0-9.9","087","2,121"
"MS","W - White","80-89.9","0-9.9","105","2,109"
"MS","W - White","90-100","0-9.9","095","2,064"
"MS","W - White","90-100","0-9.9","088","2,002"
"MS","W - White","80-89.9","0-9.9","093","1,948"
"MS","W - White","90-100","0-9.9","111","1,888"
"MS","W - White","90-100","0-9.9","120","1,864"
"MS","W - White","90-100","0-9.9","118","1,833"
"MS","W - White","90-100","0-9.9","109","1,795"
"MS","W - White","90-100","0-9.9","113","1,775"
"MS","W - White","90-100","0-9.9","116","1,773"
"MS","W - White","90-100","0-9.9","106","1,770"
"MS","W - White","90-100","0-9.9","108","1,762"
"MS","W - White","80-89.9","0-9.9","106","1,749"
"MS","W - White","80-89.9","0-9.9","108","1,738"
"MS","W - White","80-89.9","0-9.9","116","1,723"
"MS","W - White","90-100","0-9.9","093","1,709"
"MS","W - White","90-100","0-9.9","104","1,705"
"MS","W - White","80-89.9","0-9.9","111","1,698"
"MS","W - White","90-100","0-9.9","121","1,635"
"MS","W - White","90-100","0-9.9","105","1,628"
"MS","W - White","90-100","0-9.9","107","1,560"
"MS","B - Black","80-89.9","90-100","103","1,539"
"MS","W - White","90-100","0-9.9","086","1,519"
"MS","W - White","90-100","0-9.9","122","1,512"
"MS","W - White","80-89.9","0-9.9","121","1,507"
"MS","W - White","80-89.9","0-9.9","086","1,506"
"MS","W - White","80-89.9","0-9.9","089","1,501"
"MS","W - White","80-89.9","0-9.9","113","1,497"
"MS","W - White","80-89.9","0-9.9","101","1,481"
"MS","W - White","80-89.9","0-9.9","122","1,458"
"MS","W - White","80-89.9","0-9.9","120","1,434"
"MS","W - White","70-79.9","0-9.9","104","1,405"
"MS","W - White","90-100","0-9.9","117","1,403"
"MS","W - White","90-100","0-9.9","112","1,399"
"MS","W - White","90-100","0-9.9","089","1,376"
"MS","W - White","70-79.9","0-9.9","088","1,373"
"MS","W - White","80-89.9","0-9.9","112","1,368"
"MS","W - White","80-89.9","0-9.9","114","1,326"
"MS","B - Black","80-89.9","90-100","110","1,291"
"MS","W - White","70-79.9","0-9.9","095","1,284"
"MS","W - White","80-89.9","0-9.9","118","1,283"
"MS","W - White","70-79.9","0-9.9","107","1,257"
"MS","W - White","70-79.9","0-9.9","109","1,236"
"MS","W - White","90-100","0-9.9","114","1,236"
"MS","B - Black","90-100","90-100","110","1,216"
"MS","W - White","80-89.9","0-9.9","117","1,144"
"MS","W - White","70-79.9","0-9.9","087","1,122"
"MS","B - Black","80-89.9","90-100","119","1,110"
"MS","W - White","70-79.9","0-9.9","105","1,109"
"MS","W - White","90-100","0-9.9","102","1,103"
"MS","B - Black","0-9.9","90-100","119","1,063"
"MS","W - White","60-69.9","0-9.9","104","1,050"
"MS","W - White","80-89.9","0-9.9","033","1,046"
"MS","W - White","90-100","0-9.9","033","1,043"
"MS","B - Black","0-9.9","90-100","103","1,041"
"MS","W - White","70-79.9","0-9.9","116","991"
"MS","W - White","60-69.9","0-9.9","095","989"
"MS","W - White","70-79.9","0-9.9","093","983"
"MS","W - White","70-79.9","0-9.9","106","979"
"MS","W - White","70-79.9","0-9.9","108","969"
"MS","W - White","60-69.9","0-9.9","105","968"
"MS","W - White","60-69.9","0-9.9","088","951"
"MS","B - Black","90-100","90-100","119","928"
"MS","W - White","60-69.9","0-9.9","107","914"
"MS","B - Black","70-79.9","90-100","103","910"
"MS","W - White","70-79.9","0-9.9","111","905"
"MS","W - White","80-89.9","0-9.9","102","892"
"MS","W - White","70-79.9","0-9.9","122","858"
"MS","B - Black","80-89.9","90-100","080","853"
"MS","W - White","50-59.9","0-9.9","104","829"
"MS","B - Black","0-9.9","80-89.9","119","819"
"MS","W - White","70-79.9","0-9.9","120","812"
"MS","W - White","60-69.9","0-9.9","109","808"
"MS","W - White","60-69.9","0-9.9","116","807"
"MS","W - White","70-79.9","0-9.9","121","796"
"MS","W - White","60-69.9","0-9.9","087","790"
"MS","W - White","50-59.9","0-9.9","107","757"
"MS","B - Black","0-9.9","80-89.9","103","755"
"MS","W - White","60-69.9","0-9.9","106","752"
"MS","W - White","60-69.9","0-9.9","093","747"
"MS","W - White","50-59.9","0-9.9","095","743"
"MS","W - White","60-69.9","0-9.9","108","742"
"MS","W - White","70-79.9","0-9.9","114","740"
"MS","B - Black","10-19.9","90-100","119","724"
"MS","W - White","70-79.9","0-9.9","089","720"
"MS","W - White","70-79.9","0-9.9","113","719"
"MS","W - White","70-79.9","0-9.9","112","702"
"MS","B - Black","90-100","90-100","103","698"
"MS","B - Black","80-89.9","90-100","086","694"
"MS","W - White","60-69.9","0-9.9","122","692"
"MS","W - White","80-89.9","0-9.9","100","689"
"MS","W - White","0-9.9","10-19.9","122","686"
"MS","W - White","90-100","0-9.9","100","682"
"MS","W - White","70-79.9","0-9.9","086","673"
"MS","B - Black","10-19.9","90-100","103","666"
"MS","B - Black","20-29.9","90-100","103","663"
"MS","B - Black","70-79.9","90-100","119","662"
"MS","B - Black","20-29.9","90-100","119","657"
"MS","W - White","50-59.9","0-9.9","105","656"
"MS","W - White","50-59.9","0-9.9","088","655"
"MS","W - White","70-79.9","0-9.9","118","652"
"MS","B - Black","60-69.9","90-100","103","641"
"MS","W - White","70-79.9","0-9.9","117","633"
"MS","W - White","60-69.9","0-9.9","120","627"
"MS","W - White","70-79.9","0-9.9","101","612"
"MS","W - White","70-79.9","0-9.9","033","596"
"MS","W - White","10-19.9","0-9.9","095","594"
"MS","W - White","10-19.9","0-9.9","105","594"
"MS","W - White","50-59.9","0-9.9","116","592"
"MS","W - White","80-89.9","0-9.9","115","588"
"MS","W - White","60-69.9","0-9.9","121","580"
"MS","W - White","50-59.9","0-9.9","108","572"
"MS","W - White","60-69.9","0-9.9","111","567"
"MS","W - White","50-59.9","0-9.9","109","565"
"MS","W - White","80-89.9","0-9.9","099","564"
"MS","W - White","90-100","0-9.9","115","555"
"MS","B - Black","70-79.9","90-100","110","550"
"MS","B - Black","30-39.9","90-100","103","546"
"MS","W - White","50-59.9","0-9.9","106","546"
"MS","W - White","10-19.9","0-9.9","108","545"
"MS","W - White","60-69.9","0-9.9","114","545"
"MS","W - White","40-49.9","0-9.9","104","540"
"MS","W - White","10-19.9","10-19.9","122","539"
"MS","W - White","50-59.9","0-9.9","093","538"
"MS","B - Black","90-100","90-100","086","533"
"MS","W - White","50-59.9","0-9.9","087","530"
"MS","W - White","10-19.9","0-9.9","104","528"
"MS","W - White","50-59.9","0-9.9","122","528"
"MS","B - Black","70-79.9","90-100","080","528"
