"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"AK","W - White","80-89.9","20-29.9","025","263"
"AK","W - White","90-100","20-29.9","025","263"
"AK","W - White","80-89.9","20-29.9","027","261"
"AK","W - White","90-100","30-39.9","024","260"
"AK","W - White","80-89.9","30-39.9","025","259"
"AK","W - White","20-29.9","0-9.9","023","258"
"AK","W - White","60-69.9","0-9.9","021","257"
"AK","W - White","70-79.9","90-100","022","253"
"AK","W - White","50-59.9","90-100","020","251"
"AK","W - White","10-19.9","20-29.9","028","251"
"AK","W - White","70-79.9","90-100","024","251"
"AK","W - White","90-100","30-39.9","029","248"
"AK","W - White","90-100","90-100","028","248"
"AK","W - White","90-100","40-49.9","025","247"
"AK","W - White","0-9.9","10-19.9","028","247"
"AK","W - White","80-89.9","30-39.9","029","246"
"AK","W - White","20-29.9","0-9.9","024","245"
"AK","W - White","10-19.9","0-9.9","024","243"
"AK","W - White","40-49.9","10-19.9","029","242"
"AK","W - White","0-9.9","0-9.9","028","240"
"AK","W - White","0-9.9","20-29.9","025","240"
"AK","W - White","20-29.9","10-19.9","028","240"
"AK","W - White","0-9.9","10-19.9","025","239"
"AK","W - White","20-29.9","10-19.9","025","237"
"AK","W - White","90-100","30-39.9","028","236"
"AK","W - White","70-79.9","0-9.9","021","236"
"AK","W - White","90-100","10-19.9","029","235"
"AK","W - White","80-89.9","30-39.9","028","235"
"AK","W - White","80-89.9","30-39.9","027","235"
"AK","W - White","90-100","20-29.9","026","234"
"AK","W - White","50-59.9","10-19.9","028","233"
"AK","W - White","60-69.9","10-19.9","029","232"
"AK","W - White","10-19.9","30-39.9","027","230"
"AK","W - White","70-79.9","90-100","025","226"
"AK","W - White","10-19.9","20-29.9","025","226"
"AK","W - White","90-100","40-49.9","028","222"
"AK","W - White","80-89.9","40-49.9","025","222"
"AK","W - White","40-49.9","90-100","021","221"
"AK","W - White","90-100","30-39.9","026","221"
"AK","W - White","70-79.9","10-19.9","029","221"
"AK","W - White","60-69.9","90-100","024","218"
"AK","W - White","10-19.9","0-9.9","023","217"
"AK","W - White","90-100","10-19.9","026","216"
"AK","W - White","20-29.9","10-19.9","029","215"
"AK","W - White","60-69.9","90-100","022","213"
"AK","W - White","0-9.9","30-39.9","027","213"
"AK","W - White","80-89.9","30-39.9","026","211"
"AK","W - White","80-89.9","10-19.9","027","211"
"AK","W - White","80-89.9","10-19.9","025","210"
"AK","W - White","90-100","60-69.9","023","209"
"AK","W - White","0-9.9","0-9.9","025","209"
"AK","W - White","0-9.9","30-39.9","029","209"
"AK","W - White","80-89.9","90-100","027","208"
"AK","W - White","80-89.9","20-29.9","028","208"
"AK","W - White","90-100","50-59.9","023","208"
"AK","W - White","80-89.9","30-39.9","024","208"
"AK","W - White","90-100","90-100","029","207"
"AK","W - White","80-89.9","90-100","028","207"
"AK","W - White","40-49.9","90-100","020","207"
"AK","W - White","90-100","40-49.9","024","207"
"AK","W - White","10-19.9","20-29.9","029","204"
"AK","W - White","0-9.9","20-29.9","029","204"
"AK","W - White","30-39.9","90-100","023","204"
"AK","W - White","90-100","20-29.9","024","203"
"AK","W - White","10-19.9","40-49.9","028","202"
"AK","W - White","70-79.9","0-9.9","020","202"
"AK","W - White","50-59.9","90-100","022","201"
"AK","W - White","50-59.9","90-100","024","201"
"AK","W - White","80-89.9","20-29.9","024","200"
"AK","W - White","60-69.9","0-9.9","020","197"
"AK","W - White","90-100","40-49.9","023","196"
"AK","W - White","70-79.9","20-29.9","029","196"
"AK","W - White","80-89.9","40-49.9","029","196"
"AK","W - White","10-19.9","90-100","021","195"
"AK","W - White","70-79.9","20-29.9","026","194"
"AK","W - White","90-100","20-29.9","028","194"
"AK","W - White","80-89.9","40-49.9","028","193"
"AK","W - White","80-89.9","90-100","026","192"
"AK","W - White","10-19.9","90-100","022","192"
"AK","W - White","50-59.9","20-29.9","026","191"
"AK","W - White","50-59.9","0-9.9","021","189"
"AK","W - White","70-79.9","10-19.9","026","188"
"AK","W - White","0-9.9","30-39.9","028","187"
"AK","W - White","90-100","50-59.9","024","187"
"AK","W - White","10-19.9","30-39.9","028","186"
"AK","W - White","10-19.9","30-39.9","025","184"
"AK","W - White","60-69.9","20-29.9","026","183"
"AK","W - White","40-49.9","20-29.9","027","182"
"AK","W - White","40-49.9","0-9.9","020","182"
"AK","W - White","20-29.9","20-29.9","027","180"
"AK","W - White","10-19.9","90-100","020","180"
"AK","W - White","70-79.9","0-9.9","022","179"
"AK","W - White","60-69.9","10-19.9","027","178"
"AK","W - White","50-59.9","20-29.9","029","178"
"AK","W - White","10-19.9","80-89.9","023","178"
"AK","W - White","30-39.9","10-19.9","024","177"
"AK","W - White","50-59.9","0-9.9","022","177"
"AK","W - White","90-100","20-29.9","027","177"
"AK","W - White","50-59.9","20-29.9","027","175"
"AK","W - White","60-69.9","20-29.9","025","173"
"AK","W - White","50-59.9","0-9.9","020","173"
"AK","W - White","90-100","50-59.9","021","173"
"AK","W - White","90-100","40-49.9","021","172"
"AK","W - White","40-49.9","90-100","022","172"
"AK","W - White","60-69.9","20-29.9","027","171"
"AK","W - White","0-9.9","90-100","022","170"
"AK","W - White","10-19.9","90-100","023","170"
"AK","W - White","60-69.9","20-29.9","029","167"
"AK","W - White","40-49.9","80-89.9","023","167"
"AK","W - White","40-49.9","0-9.9","021","167"
"AK","W - White","90-100","30-39.9","027","166"
"AK","W - White","70-79.9","10-19.9","027","166"
"AK","W - White","20-29.9","90-100","021","165"
"AK","W - White","60-69.9","0-9.9","022","163"
"AK","W - White","90-100","10-19.9","028","163"
"AK","W - White","40-49.9","90-100","024","162"
"AK","W - White","10-19.9","80-89.9","020","162"
"AK","W - White","80-89.9","40-49.9","027","161"
"AK","W - White","0-9.9","30-39.9","025","160"
"AK","W - White","60-69.9","10-19.9","025","158"
"AK","W - White","90-100","70-79.9","023","158"
"AK","W - White","10-19.9","80-89.9","021","157"
"AK","W - White","30-39.9","90-100","024","157"
"AK","W - White","90-100","60-69.9","021","157"
"AK","W - White","70-79.9","20-29.9","025","156"
"AK","W - White","20-29.9","90-100","023","156"
"AK","W - White","20-29.9","90-100","022","155"
"AK","W - White","80-89.9","50-59.9","025","155"
"AK","W - White","30-39.9","80-89.9","023","155"
"AK","W - White","0-9.9","40-49.9","027","154"
"AK","W - White","80-89.9","40-49.9","024","154"
"AK","W - White","60-69.9","90-100","025","154"
"AK","W - White","30-39.9","90-100","020","154"
"AK","W - White","50-59.9","10-19.9","023","154"
"AK","W - White","70-79.9","90-100","029","154"
"AK","W - White","10-19.9","30-39.9","026","153"
"AK","W - White","70-79.9","10-19.9","025","153"
"AK","W - White","70-79.9","10-19.9","028","153"
"AK","W - White","50-59.9","10-19.9","024","152"
"AK","W - White","90-100","50-59.9","025","152"
"AK","W - White","90-100","50-59.9","028","151"
"AK","W - White","40-49.9","20-29.9","026","150"
"AK","W - White","70-79.9","20-29.9","027","149"
"AK","W - White","60-69.9","30-39.9","025","149"
"AK","W - White","60-69.9","10-19.9","028","148"
"AK","W - White","60-69.9","20-29.9","028","148"
"AK","W - White","30-39.9","90-100","022","148"
"AK","W - White","10-19.9","40-49.9","025","148"
"AK","W - White","90-100","10-19.9","024","147"
"AK","W - White","80-89.9","10-19.9","028","147"
"AK","W - White","30-39.9","90-100","021","146"
"AK","W - White","90-100","10-19.9","025","146"
"AK","W - White","20-29.9","20-29.9","028","145"
"AK","W - White","0-9.9","90-100","021","145"
"AK","W - White","10-19.9","10-19.9","024","144"
"AK","W - White","50-59.9","80-89.9","023","144"
"AK","W - White","70-79.9","90-100","028","144"
"AK","W - White","90-100","10-19.9","023","144"
"AK","W - White","90-100","30-39.9","023","144"
"AK","W - White","40-49.9","0-9.9","022","143"
"AK","W - White","40-49.9","10-19.9","023","143"
"AK","W - White","40-49.9","10-19.9","024","142"
"AK","W - White","90-100","90-100","026","142"
"AK","W - White","90-100","60-69.9","024","142"
"AK","W - White","30-39.9","0-9.9","021","141"
"AK","W - White","40-49.9","20-29.9","029","141"
"AK","W - White","20-29.9","90-100","020","141"
"AK","W - White","90-100","30-39.9","021","139"
"AK","W - White","10-19.9","90-100","024","138"
"AK","W - White","20-29.9","80-89.9","023","137"
"AK","W - White","40-49.9","20-29.9","025","136"
"AK","W - White","70-79.9","30-39.9","027","136"
"AK","W - White","90-100","90-100","027","136"
"AK","W - White","60-69.9","30-39.9","026","134"
"AK","W - White","50-59.9","20-29.9","025","134"
"AK","W - White","10-19.9","40-49.9","027","134"
"AK","W - White","20-29.9","20-29.9","026","133"
"AK","W - White","20-29.9","0-9.9","020","132"
"AK","W - White","70-79.9","10-19.9","024","132"
"AK","W - White","30-39.9","10-19.9","023","132"
"AK","W - White","90-100","40-49.9","027","131"
"AK","W - White","10-19.9","70-79.9","020","131"
"AK","W - White","90-100","40-49.9","029","131"
"AK","W - White","70-79.9","20-29.9","024","131"
"AK","W - White","0-9.9","50-59.9","028","131"
"AK","W - White","0-9.9","40-49.9","028","130"
"AK","W - White","60-69.9","90-100","029","130"
"AK","W - White","30-39.9","20-29.9","025","130"
"AK","W - White","30-39.9","20-29.9","027","129"
"AK","W - White","0-9.9","0-9.9","024","128"
"AK","W - White","80-89.9","50-59.9","029","128"
"AK","W - White","80-89.9","40-49.9","023","127"
"AK","W - White","20-29.9","0-9.9","022","127"
"AK","W - White","20-29.9","20-29.9","025","127"
"AK","W - White","20-29.9","0-9.9","021","126"
"AK","W - White","10-19.9","70-79.9","021","126"
"AK","W - White","70-79.9","30-39.9","026","126"
"AK","W - White","50-59.9","90-100","029","125"
"AK","W - White","40-49.9","80-89.9","024","125"
"AK","W - White","70-79.9","30-39.9","025","125"
"AK","W - White","80-89.9","50-59.9","024","125"
"AK","W - White","0-9.9","80-89.9","023","125"
"AK","W - White","20-29.9","90-100","024","124"
"AK","W - White","40-49.9","80-89.9","021","124"
"AK","W - White","0-9.9","20-29.9","022","124"
"AK","W - White","0-9.9","80-89.9","021","123"
"AK","W - White","90-100","10-19.9","021","122"
"AK","W - White","90-100","80-89.9","023","121"
"AK","W - White","80-89.9","20-29.9","023","121"
"AK","W - White","30-39.9","0-9.9","022","121"
"AK","W - White","70-79.9","90-100","027","121"
"AK","W - White","80-89.9","40-49.9","026","121"
"AK","W - White","0-9.9","20-29.9","024","121"
"AK","W - White","80-89.9","80-89.9","023","121"
"AK","W - White","50-59.9","20-29.9","028","121"
"AK","W - White","80-89.9","50-59.9","027","121"
"AK","W - White","60-69.9","30-39.9","027","121"
"AK","W - White","60-69.9","80-89.9","021","120"
"AK","W - White","50-59.9","90-100","025","120"
"AK","W - White","90-100","10-19.9","027","120"
"AK","W - White","10-19.9","0-9.9","022","120"
"AK","W - White","60-69.9","90-100","028","120"
"AK","W - White","0-9.9","40-49.9","025","120"
"AK","W - White","10-19.9","20-29.9","024","120"
"AK","W - White","10-19.9","20-29.9","022","119"
"AK","W - White","10-19.9","80-89.9","024","119"
"AK","W - White","10-19.9","0-9.9","020","119"
"AK","W - White","80-89.9","40-49.9","021","118"
"AK","W - White","70-79.9","30-39.9","028","118"
"AK","W - White","80-89.9","50-59.9","028","118"
"AK","W - White","40-49.9","10-19.9","022","117"
"AK","W - White","60-69.9","90-100","027","117"
"AK","W - White","90-100","60-69.9","028","116"
"AK","W - White","20-29.9","10-19.9","024","116"
"AK","W - White","40-49.9","30-39.9","027","116"
"AK","W - White","0-9.9","10-19.9","024","115"
"AK","W - White","40-49.9","20-29.9","028","115"
"AK","W - White","30-39.9","20-29.9","026","115"
"AK","W - White","40-49.9","20-29.9","024","115"
"AK","W - White","80-89.9","10-19.9","024","114"
"AK","W - White","60-69.9","80-89.9","023","114"
"AK","W - White","80-89.9","50-59.9","023","113"
